Nâng cấp bắt đầu: 10:36:27_25-03-2022
10:36:27_25-03-2022 | 116.97.53.42 | Cập nhật module users lên 4.4.01 | SUCCESS
10:36:28_25-03-2022 | 116.97.53.42 | Cập nhật hệ thống lên 4.4.01 | SUCCESS
10:36:29_25-03-2022 | 116.97.53.42 | Cập nhật hệ thống lên 4.4.03 | SUCCESS
10:36:31_25-03-2022 | 116.97.53.42 | Cập nhật hệ thống lên 4.4.04 | SUCCESS
10:36:32_25-03-2022 | 116.97.53.42 | Cập nhật CSDL lên phiên bản 4.4.04 | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Tạo thư mục assets/js/chart/chunks | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Tạo thư mục data/certs | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Tạo thư mục includes/api | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Tạo thư mục vendor/tecnickcom | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Tạo thư mục vendor/tecnickcom/tc-lib-barcode | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Tạo thư mục vendor/tecnickcom/tc-lib-barcode/src | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Tạo thư mục vendor/tecnickcom/tc-lib-barcode/src/Type | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Tạo thư mục vendor/tecnickcom/tc-lib-barcode/src/Type/Linear | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Tạo thư mục vendor/tecnickcom/tc-lib-barcode/src/Type/Linear/CodeOneTwoEight | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Tạo thư mục vendor/tecnickcom/tc-lib-barcode/src/Type/Square | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Tạo thư mục vendor/tecnickcom/tc-lib-barcode/src/Type/Square/Datamatrix | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Tạo thư mục vendor/tecnickcom/tc-lib-barcode/src/Type/Square/PdfFourOneSeven | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Tạo thư mục vendor/tecnickcom/tc-lib-barcode/src/Type/Square/QrCode | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Tạo thư mục vendor/tecnickcom/tc-lib-color | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Tạo thư mục vendor/tecnickcom/tc-lib-color/src | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Tạo thư mục vendor/tecnickcom/tc-lib-color/src/Model | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Tạo thư mục vendor/vinades/nukeviet/Api | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file admin/authors/2step.php | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file admin/authors/2step_facebook.php | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file admin/authors/2step_google.php | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file admin/authors/add.php | SUCCESS
