Nâng cấp bắt đầu: 10:39:18_25-03-2022
10:39:18_25-03-2022 | 116.97.53.42 | Cập nhật module Banners lên 4.5.00 | SUCCESS
10:39:19_25-03-2022 | 116.97.53.42 | Cập nhật module Contact lên 4.5.00 | SUCCESS
10:39:20_25-03-2022 | 116.97.53.42 | Cập nhật module News lên 4.5.00 | SUCCESS
10:39:21_25-03-2022 | 116.97.53.42 | Cập nhật module Page lên 4.5.00 | SUCCESS
10:39:23_25-03-2022 | 116.97.53.42 | Cập nhật module Users lên 4.5.00 | SUCCESS
10:39:24_25-03-2022 | 116.97.53.42 | Cập nhật module Voting lên 4.5.00 | SUCCESS
10:39:25_25-03-2022 | 116.97.53.42 | Cập nhật hệ thống lên 4.5.00 | SUCCESS
10:39:26_25-03-2022 | 116.97.53.42 | Cập nhật module Users lên 4.5.01 | SUCCESS
10:39:28_25-03-2022 | 116.97.53.42 | Cập nhật hệ thống lên 4.5.01 | SUCCESS
10:39:29_25-03-2022 | 116.97.53.42 | Cập nhật CSDL lên phiên bản 4.5.01 | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Tạo thư mục admin/zalo | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Tạo thư mục assets/mobile | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Tạo thư mục assets/mobile/news | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Tạo thư mục assets/news/authors | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Tạo thư mục data/logs/news_logs | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Tạo thư mục themes/admin_default/modules/zalo | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Tạo thư mục vendor/vinades/nukeviet/Zalo | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/authors/2step.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/authors/2step_facebook.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/authors/2step_google.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/authors/2step_zalo.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/authors/add.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/authors/admin.menu.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/authors/api-credentials.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/authors/api-roles.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/authors/config.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/authors/del.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/authors/edit.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/authors/functions.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/authors/main.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/authors/module.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/authors/suspend.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/authors/users.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/database/admin.menu.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/database/delfile.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/database/download.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/database/file.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/database/functions.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/database/getfile.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/database/main.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/database/optimize.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/database/sampledata.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/database/savefile.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/database/setting.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/extensions/admin.menu.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/extensions/detail.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/extensions/download.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/extensions/downloaded.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/extensions/favorites.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/extensions/featured.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/extensions/functions.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/extensions/install.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/extensions/login.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/extensions/main.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/extensions/manage.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/extensions/newest.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/extensions/popular.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/extensions/update.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/extensions/upload.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/index.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/language/admin.menu.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/language/check.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/language/countries.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/language/delete.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/language/download.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/language/edit.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/language/functions.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/language/interface.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/language/main.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/language/read.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/language/setting.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/language/write.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/modules/admin.menu.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/modules/change_act.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/modules/change_alias.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/modules/change_custom_name.php | SUCCESS
