Nâng cấp bắt đầu: 14:25:00_02-04-2021
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file admin/authors/2step.php | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file admin/authors/2step_facebook.php | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file admin/authors/2step_google.php | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file admin/authors/add.php | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file admin/authors/admin.menu.php | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file admin/authors/config.php | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file admin/authors/del.php | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file admin/authors/edit.php | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file admin/authors/main.php | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file admin/extensions/functions.php | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file admin/extensions/manage.php | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file admin/extensions/upload.php | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file admin/index.php | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file admin/language/check.php | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file admin/language/edit.php | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file admin/language/functions.php | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file admin/language/interface.php | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file admin/language/main.php | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file admin/language/read.php | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file admin/language/write.php | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file admin/modules/del.php | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file admin/modules/edit.php | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file admin/modules/functions.php | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file admin/modules/setup.php | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file admin/modules/show.php | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file admin/seotools/admin.menu.php | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file admin/seotools/functions.php | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file admin/seotools/main.php | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file admin/seotools/metatags.php | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file admin/seotools/robots.php | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file admin/settings/cronjobs.php | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file admin/settings/cronjobs_add.php | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file admin/settings/cronjobs_del.php | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file admin/settings/cronjobs_edit.php | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file admin/settings/functions.php | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file admin/settings/main.php | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file admin/settings/plugin.php | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file admin/settings/security.php | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file admin/settings/smtp.php | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file admin/settings/system.php | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file admin/siteinfo/admin.menu.php | SUCCESS
14:25:00_02-04-2021 | 127.0.0.1 | Di chuyển file admin/siteinfo/functions.php | SUCCESS
